type,organism,species
E,S. cerevisiae,250
E,S. cerevisiae,342
E,S. cerevisiae,330
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,331
E,S. cerevisiae,298
E,S. cerevisiae,340
E,S. cerevisiae,279
E,S. cerevisiae,317
E,S. cerevisiae,338
E,S. cerevisiae,340
E,S. cerevisiae,339
E,S. cerevisiae,343
E,S. cerevisiae,328
E,S. cerevisiae,340
E,S. cerevisiae,282
E,S. cerevisiae,343
E,S. cerevisiae,327
E,S. cerevisiae,319
E,S. cerevisiae,332
E,S. cerevisiae,324
E,S. cerevisiae,322
E,S. cerevisiae,343
E,S. cerevisiae,333
E,S. cerevisiae,52
E,S. cerevisiae,343
E,S. cerevisiae,341
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,333
E,S. cerevisiae,331
E,S. cerevisiae,268
E,S. cerevisiae,343
E,S. cerevisiae,339
E,S. cerevisiae,328
E,S. cerevisiae,332
E,S. cerevisiae,311
E,S. cerevisiae,339
E,S. cerevisiae,336
E,S. cerevisiae,327
E,S. cerevisiae,336
E,S. cerevisiae,325
E,S. cerevisiae,327
E,S. cerevisiae,313
E,S. cerevisiae,61
E,S. cerevisiae,322
E,S. cerevisiae,332
E,S. cerevisiae,308
E,S. cerevisiae,260
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,341
E,S. cerevisiae,333
E,S. cerevisiae,326
E,S. cerevisiae,341
E,S. cerevisiae,341
E,S. cerevisiae,284
E,S. cerevisiae,335
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,334
E,S. cerevisiae,212
E,S. cerevisiae,52
E,S. cerevisiae,269
E,S. cerevisiae,334
E,S. cerevisiae,296
E,S. cerevisiae,341
E,S. cerevisiae,61
E,S. cerevisiae,61
E,S. cerevisiae,335
E,S. cerevisiae,297
E,S. cerevisiae,294
E,S. cerevisiae,304
E,S. cerevisiae,320
E,S. cerevisiae,321
E,S. cerevisiae,342
E,S. cerevisiae,342
E,S. cerevisiae,341
E,S. cerevisiae,322
E,S. cerevisiae,339
E,S. cerevisiae,342
E,S. cerevisiae,316
E,S. cerevisiae,343
E,S. cerevisiae,334
E,S. cerevisiae,71
E,S. cerevisiae,339
E,S. cerevisiae,341
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,327
E,S. cerevisiae,341
E,S. cerevisiae,273
E,S. cerevisiae,234
E,S. cerevisiae,342
E,S. cerevisiae,58
E,S. cerevisiae,286
E,S. cerevisiae,282
E,S. cerevisiae,320
E,S. cerevisiae,340
E,S. cerevisiae,57
E,S. cerevisiae,336
E,S. cerevisiae,333
E,S. cerevisiae,246
E,S. cerevisiae,59
E,S. cerevisiae,339
E,S. cerevisiae,331
E,S. cerevisiae,276
E,S. cerevisiae,338
E,S. cerevisiae,331
E,S. cerevisiae,329
E,S. cerevisiae,342
E,S. cerevisiae,331
E,S. cerevisiae,340
E,S. cerevisiae,343
E,S. cerevisiae,58
E,S. cerevisiae,318
E,S. cerevisiae,314
E,S. cerevisiae,333
E,S. cerevisiae,264
E,S. cerevisiae,340
E,S. cerevisiae,338
E,S. cerevisiae,338
E,S. cerevisiae,341
E,S. cerevisiae,343
E,S. cerevisiae,330
E,S. cerevisiae,324
E,S. cerevisiae,340
E,S. cerevisiae,332
E,S. cerevisiae,321
E,S. cerevisiae,328
E,S. cerevisiae,328
E,S. cerevisiae,326
E,S. cerevisiae,288
E,S. cerevisiae,294
E,S. cerevisiae,335
E,S. cerevisiae,342
E,S. cerevisiae,337
E,S. cerevisiae,71
E,S. cerevisiae,281
E,S. cerevisiae,315
E,S. cerevisiae,326
E,S. cerevisiae,91
E,S. cerevisiae,330
E,S. cerevisiae,314
E,S. cerevisiae,328
E,S. cerevisiae,71
E,S. cerevisiae,297
E,S. cerevisiae,341
E,S. cerevisiae,340
E,S. cerevisiae,340
E,S. cerevisiae,236
E,S. cerevisiae,342
E,S. cerevisiae,343
E,S. cerevisiae,341
E,S. cerevisiae,2
E,S. cerevisiae,337
E,S. cerevisiae,318
E,S. cerevisiae,341
E,S. cerevisiae,343
E,S. cerevisiae,285
E,S. cerevisiae,312
E,S. cerevisiae,302
E,S. cerevisiae,343
E,S. cerevisiae,36
E,S. cerevisiae,330
E,S. cerevisiae,294
E,S. cerevisiae,328
E,S. cerevisiae,343
E,S. cerevisiae,329
E,S. cerevisiae,343
E,S. cerevisiae,71
E,S. cerevisiae,342
E,S. cerevisiae,250
E,S. cerevisiae,297
E,S. cerevisiae,342
E,S. cerevisiae,319
E,S. cerevisiae,329
E,S. cerevisiae,37
E,S. cerevisiae,293
E,S. cerevisiae,343
E,S. cerevisiae,335
E,S. cerevisiae,339
E,S. cerevisiae,342
E,S. cerevisiae,338
E,S. cerevisiae,253
E,S. cerevisiae,73
E,S. cerevisiae,343
E,S. cerevisiae,330
E,S. cerevisiae,262
E,S. cerevisiae,333
E,S. cerevisiae,314
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,318
E,S. cerevisiae,339
E,S. cerevisiae,335
E,S. cerevisiae,320
E,S. cerevisiae,343
E,S. cerevisiae,335
E,S. cerevisiae,277
E,S. cerevisiae,338
E,S. cerevisiae,323
E,S. cerevisiae,341
E,S. cerevisiae,339
E,S. cerevisiae,317
E,S. cerevisiae,319
E,S. cerevisiae,337
E,S. cerevisiae,273
E,S. cerevisiae,278
E,S. cerevisiae,343
E,S. cerevisiae,300
E,S. cerevisiae,342
E,S. cerevisiae,335
E,S. cerevisiae,60
E,S. cerevisiae,325
E,S. cerevisiae,319
E,S. cerevisiae,342
E,S. cerevisiae,342
E,S. cerevisiae,338
E,S. cerevisiae,329
E,S. cerevisiae,339
E,S. cerevisiae,314
E,S. cerevisiae,343
E,S. cerevisiae,331
E,S. cerevisiae,325
E,S. cerevisiae,335
E,S. cerevisiae,341
E,S. cerevisiae,61
E,S. cerevisiae,323
E,S. cerevisiae,338
E,S. cerevisiae,324
E,S. cerevisiae,59
E,S. cerevisiae,342
E,S. cerevisiae,289
E,S. cerevisiae,64
E,S. cerevisiae,316
E,S. cerevisiae,106
E,S. cerevisiae,342
E,S. cerevisiae,286
E,S. cerevisiae,306
E,S. cerevisiae,339
E,S. cerevisiae,56
E,S. cerevisiae,326
E,S. cerevisiae,343
E,S. cerevisiae,306
E,S. cerevisiae,339
E,S. cerevisiae,49
E,S. cerevisiae,318
E,S. cerevisiae,343
E,S. cerevisiae,292
E,S. cerevisiae,73
E,S. cerevisiae,331
E,S. cerevisiae,291
E,S. cerevisiae,323
E,S. cerevisiae,342
E,S. cerevisiae,331
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,327
E,S. cerevisiae,326
E,S. cerevisiae,339
E,S. cerevisiae,343
E,S. cerevisiae,288
E,S. cerevisiae,332
E,S. cerevisiae,339
E,S. cerevisiae,308
E,S. cerevisiae,62
E,S. cerevisiae,335
E,S. cerevisiae,268
E,S. cerevisiae,67
E,S. cerevisiae,326
E,S. cerevisiae,342
E,S. cerevisiae,317
E,S. cerevisiae,342
E,S. cerevisiae,294
E,S. cerevisiae,323
E,S. cerevisiae,300
E,S. cerevisiae,332
E,S. cerevisiae,298
E,S. cerevisiae,343
E,S. cerevisiae,285
E,S. cerevisiae,343
E,S. cerevisiae,340
E,S. cerevisiae,339
E,S. cerevisiae,324
E,S. cerevisiae,343
E,S. cerevisiae,51
E,S. cerevisiae,340
E,S. cerevisiae,332
E,S. cerevisiae,61
E,S. cerevisiae,306
E,S. cerevisiae,61
E,S. cerevisiae,343
E,S. cerevisiae,302
E,S. cerevisiae,166
E,S. cerevisiae,321
E,S. cerevisiae,282
E,S. cerevisiae,278
E,S. cerevisiae,68
E,S. cerevisiae,340
E,S. cerevisiae,311
E,S. cerevisiae,343
E,S. cerevisiae,306
E,S. cerevisiae,78
E,S. cerevisiae,342
E,S. cerevisiae,334
E,S. cerevisiae,342
E,S. cerevisiae,342
E,S. cerevisiae,325
E,S. cerevisiae,198
E,S. cerevisiae,340
E,S. cerevisiae,342
E,S. cerevisiae,329
E,S. cerevisiae,339
E,S. cerevisiae,323
E,S. cerevisiae,329
E,S. cerevisiae,286
E,S. cerevisiae,337
E,S. cerevisiae,313
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,340
E,S. cerevisiae,334
E,S. cerevisiae,259
E,S. cerevisiae,290
E,S. cerevisiae,342
E,S. cerevisiae,278
E,S. cerevisiae,337
E,S. cerevisiae,336
E,S. cerevisiae,342
E,S. cerevisiae,336
E,S. cerevisiae,341
E,S. cerevisiae,342
E,S. cerevisiae,262
E,S. cerevisiae,342
E,S. cerevisiae,212
E,S. cerevisiae,329
E,S. cerevisiae,320
E,S. cerevisiae,341
E,S. cerevisiae,226
E,S. cerevisiae,331
E,S. cerevisiae,340
E,S. cerevisiae,70
E,S. cerevisiae,296
E,S. cerevisiae,299
E,S. cerevisiae,309
E,S. cerevisiae,340
E,S. cerevisiae,338
E,S. cerevisiae,342
E,S. cerevisiae,207
E,S. cerevisiae,326
E,S. cerevisiae,342
E,S. cerevisiae,323
E,S. cerevisiae,343
E,S. cerevisiae,333
E,S. cerevisiae,334
E,S. cerevisiae,68
E,S. cerevisiae,264
E,S. cerevisiae,5
E,S. cerevisiae,342
E,S. cerevisiae,320
E,S. cerevisiae,325
E,S. cerevisiae,338
E,S. cerevisiae,316
E,S. cerevisiae,72
E,S. cerevisiae,70
E,S. cerevisiae,341
E,S. cerevisiae,343
E,S. cerevisiae,307
E,S. cerevisiae,277
E,S. cerevisiae,312
E,S. cerevisiae,323
E,S. cerevisiae,302
E,S. cerevisiae,324
E,S. cerevisiae,343
E,S. cerevisiae,341
E,S. cerevisiae,340
E,S. cerevisiae,332
E,S. cerevisiae,312
E,S. cerevisiae,343
E,S. cerevisiae,243
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,342
E,S. cerevisiae,329
E,S. cerevisiae,328
E,S. cerevisiae,300
E,S. cerevisiae,337
E,S. cerevisiae,336
E,S. cerevisiae,72
E,S. cerevisiae,316
E,S. cerevisiae,328
E,S. cerevisiae,277
E,S. cerevisiae,332
E,S. cerevisiae,330
E,S. cerevisiae,336
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,332
E,S. cerevisiae,310
E,S. cerevisiae,343
E,S. cerevisiae,104
E,S. cerevisiae,311
E,S. cerevisiae,343
E,S. cerevisiae,307
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,319
E,S. cerevisiae,326
E,S. cerevisiae,305
E,S. cerevisiae,343
E,S. cerevisiae,310
E,S. cerevisiae,153
E,S. cerevisiae,330
E,S. cerevisiae,312
E,S. cerevisiae,338
E,S. cerevisiae,52
E,S. cerevisiae,324
E,S. cerevisiae,333
E,S. cerevisiae,343
E,S. cerevisiae,329
E,S. cerevisiae,322
E,S. cerevisiae,301
E,S. cerevisiae,327
E,S. cerevisiae,333
E,S. cerevisiae,342
E,S. cerevisiae,311
E,S. cerevisiae,323
E,S. cerevisiae,304
E,S. cerevisiae,341
E,S. cerevisiae,71
E,S. cerevisiae,327
E,S. cerevisiae,335
E,S. cerevisiae,331
E,S. cerevisiae,291
E,S. cerevisiae,304
E,S. cerevisiae,331
E,S. cerevisiae,46
E,S. cerevisiae,307
E,S. cerevisiae,337
E,S. cerevisiae,290
E,S. cerevisiae,71
E,S. cerevisiae,308
E,S. cerevisiae,316
E,S. cerevisiae,343
E,S. cerevisiae,71
E,S. cerevisiae,332
E,S. cerevisiae,337
E,S. cerevisiae,343
E,S. cerevisiae,319
E,S. cerevisiae,330
E,S. cerevisiae,339
E,S. cerevisiae,332
E,S. cerevisiae,39
E,S. cerevisiae,305
E,S. cerevisiae,317
E,S. cerevisiae,340
E,S. cerevisiae,301
E,S. cerevisiae,341
E,S. cerevisiae,250
E,S. cerevisiae,280
E,S. cerevisiae,333
E,S. cerevisiae,335
E,S. cerevisiae,338
E,S. cerevisiae,318
E,S. cerevisiae,330
E,S. cerevisiae,342
E,S. cerevisiae,329
E,S. cerevisiae,303
E,S. cerevisiae,328
E,S. cerevisiae,342
E,S. cerevisiae,64
E,S. cerevisiae,330
E,S. cerevisiae,310
E,S. cerevisiae,289
E,S. cerevisiae,315
E,S. cerevisiae,338
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,318
E,S. cerevisiae,322
E,S. cerevisiae,75
E,S. cerevisiae,308
E,S. cerevisiae,339
E,S. cerevisiae,343
E,S. cerevisiae,73
E,S. cerevisiae,8
E,S. cerevisiae,333
E,S. cerevisiae,46
E,S. cerevisiae,321
E,S. cerevisiae,328
E,S. cerevisiae,339
E,S. cerevisiae,322
E,S. cerevisiae,343
E,S. cerevisiae,269
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,271
E,S. cerevisiae,340
E,S. cerevisiae,327
E,S. cerevisiae,301
E,S. cerevisiae,329
E,S. cerevisiae,339
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,337
E,S. cerevisiae,159
E,S. cerevisiae,79
E,S. cerevisiae,29
E,S. cerevisiae,319
E,S. cerevisiae,44
E,S. cerevisiae,333
E,S. cerevisiae,334
E,S. cerevisiae,75
E,S. cerevisiae,321
E,S. cerevisiae,329
E,S. cerevisiae,342
E,S. cerevisiae,342
E,S. cerevisiae,311
E,S. cerevisiae,343
E,S. cerevisiae,97
E,S. cerevisiae,69
E,S. cerevisiae,342
E,S. cerevisiae,312
E,S. cerevisiae,337
E,S. cerevisiae,342
E,S. cerevisiae,343
E,S. cerevisiae,323
E,S. cerevisiae,310
E,S. cerevisiae,317
E,S. cerevisiae,343
E,S. cerevisiae,328
E,S. cerevisiae,69
E,S. cerevisiae,336
E,S. cerevisiae,342
E,S. cerevisiae,7
E,S. cerevisiae,315
E,S. cerevisiae,310
E,S. cerevisiae,324
E,S. cerevisiae,227
E,S. cerevisiae,342
E,S. cerevisiae,292
E,S. cerevisiae,342
E,S. cerevisiae,331
E,S. cerevisiae,324
E,S. cerevisiae,331
E,S. cerevisiae,279
E,S. cerevisiae,343
E,S. cerevisiae,340
E,S. cerevisiae,2
E,S. cerevisiae,305
E,S. cerevisiae,339
E,S. cerevisiae,330
E,S. cerevisiae,343
E,S. cerevisiae,293
E,S. cerevisiae,312
E,S. cerevisiae,341
E,S. cerevisiae,331
E,S. cerevisiae,343
E,S. cerevisiae,55
E,S. cerevisiae,64
E,S. cerevisiae,305
E,S. cerevisiae,308
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,333
E,S. cerevisiae,124
E,S. cerevisiae,333
E,S. cerevisiae,337
E,S. cerevisiae,329
E,S. cerevisiae,340
E,S. cerevisiae,343
E,S. cerevisiae,303
E,S. cerevisiae,313
E,S. cerevisiae,329
E,S. cerevisiae,343
E,S. cerevisiae,64
E,S. cerevisiae,311
E,S. cerevisiae,337
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,342
E,S. cerevisiae,343
E,S. cerevisiae,187
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,341
E,S. cerevisiae,58
E,S. cerevisiae,343
E,S. cerevisiae,338
E,S. cerevisiae,334
E,S. cerevisiae,306
E,S. cerevisiae,298
E,S. cerevisiae,302
E,S. cerevisiae,338
E,S. cerevisiae,336
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,340
E,S. cerevisiae,341
E,S. cerevisiae,340
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,73
E,S. cerevisiae,343
E,S. cerevisiae,340
E,S. cerevisiae,97
E,S. cerevisiae,60
E,S. cerevisiae,325
E,S. cerevisiae,335
E,S. cerevisiae,68
E,S. cerevisiae,72
E,S. cerevisiae,329
E,S. cerevisiae,181
E,S. cerevisiae,321
E,S. cerevisiae,336
E,S. cerevisiae,316
E,S. cerevisiae,343
E,S. cerevisiae,341
E,S. cerevisiae,282
E,S. cerevisiae,343
E,S. cerevisiae,131
E,S. cerevisiae,289
E,S. cerevisiae,342
E,S. cerevisiae,302
E,S. cerevisiae,333
E,S. cerevisiae,255
E,S. cerevisiae,235
E,S. cerevisiae,339
E,S. cerevisiae,331
E,S. cerevisiae,320
E,S. cerevisiae,330
E,S. cerevisiae,312
E,S. cerevisiae,306
E,S. cerevisiae,315
E,S. cerevisiae,280
E,S. cerevisiae,330
E,S. cerevisiae,289
E,S. cerevisiae,342
E,S. cerevisiae,253
E,S. cerevisiae,339
E,S. cerevisiae,327
E,S. cerevisiae,326
E,S. cerevisiae,342
E,S. cerevisiae,63
E,S. cerevisiae,343
E,S. cerevisiae,230
E,S. cerevisiae,285
E,S. cerevisiae,59
E,S. cerevisiae,342
E,S. cerevisiae,331
E,S. cerevisiae,82
E,S. cerevisiae,338
E,S. cerevisiae,322
E,S. cerevisiae,47
E,S. cerevisiae,296
E,S. cerevisiae,317
E,S. cerevisiae,341
E,S. cerevisiae,329
E,S. cerevisiae,317
E,S. cerevisiae,272
E,S. cerevisiae,333
E,S. cerevisiae,330
E,S. cerevisiae,323
E,S. cerevisiae,342
E,S. cerevisiae,337
E,S. cerevisiae,180
E,S. cerevisiae,323
E,S. cerevisiae,323
E,S. cerevisiae,326
E,S. cerevisiae,302
E,S. cerevisiae,72
E,S. cerevisiae,334
E,S. cerevisiae,335
E,S. cerevisiae,343
E,S. cerevisiae,334
E,S. cerevisiae,335
E,S. cerevisiae,93
E,S. cerevisiae,335
E,S. cerevisiae,342
E,S. cerevisiae,336
E,S. cerevisiae,328
E,S. cerevisiae,245
E,S. cerevisiae,336
E,S. cerevisiae,329
E,S. cerevisiae,169
E,S. cerevisiae,340
E,S. cerevisiae,339
E,S. cerevisiae,40
E,S. cerevisiae,300
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,334
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,70
E,S. cerevisiae,314
E,S. cerevisiae,343
E,S. cerevisiae,314
E,S. cerevisiae,342
E,S. cerevisiae,327
E,S. cerevisiae,285
E,S. cerevisiae,294
E,S. cerevisiae,343
E,S. cerevisiae,340
E,S. cerevisiae,279
E,S. cerevisiae,233
E,S. cerevisiae,318
E,S. cerevisiae,50
E,S. cerevisiae,39
E,S. cerevisiae,334
E,S. cerevisiae,342
E,S. cerevisiae,342
E,S. cerevisiae,335
E,S. cerevisiae,323
E,S. cerevisiae,338
E,S. cerevisiae,3
E,S. cerevisiae,343
E,S. cerevisiae,332
E,S. cerevisiae,261
E,S. cerevisiae,337
E,S. cerevisiae,299
E,S. cerevisiae,336
E,S. cerevisiae,329
E,S. cerevisiae,341
E,S. cerevisiae,285
E,S. cerevisiae,343
E,S. cerevisiae,322
E,S. cerevisiae,337
E,S. cerevisiae,66
E,S. cerevisiae,325
E,S. cerevisiae,258
E,S. cerevisiae,342
E,S. cerevisiae,268
E,S. cerevisiae,329
E,S. cerevisiae,326
E,S. cerevisiae,60
E,S. cerevisiae,341
E,S. cerevisiae,339
E,S. cerevisiae,198
E,S. cerevisiae,339
E,S. cerevisiae,286
E,S. cerevisiae,283
E,S. cerevisiae,336
E,S. cerevisiae,341
E,S. cerevisiae,316
E,S. cerevisiae,343
E,S. cerevisiae,330
E,S. cerevisiae,332
E,S. cerevisiae,321
E,S. cerevisiae,307
E,S. cerevisiae,326
E,S. cerevisiae,298
E,S. cerevisiae,308
E,S. cerevisiae,342
E,S. cerevisiae,295
E,S. cerevisiae,340
E,S. cerevisiae,333
E,S. cerevisiae,343
E,S. cerevisiae,317
E,S. cerevisiae,246
E,S. cerevisiae,312
E,S. cerevisiae,340
E,S. cerevisiae,323
E,S. cerevisiae,340
E,S. cerevisiae,292
E,S. cerevisiae,338
E,S. cerevisiae,171
E,S. cerevisiae,325
E,S. cerevisiae,341
E,S. cerevisiae,306
E,S. cerevisiae,329
E,S. cerevisiae,340
E,S. cerevisiae,333
E,S. cerevisiae,323
E,S. cerevisiae,331
E,S. cerevisiae,339
E,S. cerevisiae,316
E,S. cerevisiae,308
E,S. cerevisiae,326
E,S. cerevisiae,305
E,S. cerevisiae,312
E,S. cerevisiae,253
E,S. cerevisiae,342
E,S. cerevisiae,339
E,S. cerevisiae,341
E,S. cerevisiae,309
E,S. cerevisiae,53
E,S. cerevisiae,342
E,S. cerevisiae,341
E,S. cerevisiae,330
E,S. cerevisiae,324
E,S. cerevisiae,342
E,S. cerevisiae,68
E,S. cerevisiae,333
E,S. cerevisiae,335
E,S. cerevisiae,343
E,S. cerevisiae,340
E,S. cerevisiae,334
E,S. cerevisiae,320
E,S. cerevisiae,342
E,S. cerevisiae,23
E,S. cerevisiae,324
E,S. cerevisiae,343
E,S. cerevisiae,337
E,S. cerevisiae,310
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,299
E,S. cerevisiae,324
E,S. cerevisiae,339
E,S. cerevisiae,315
E,S. cerevisiae,338
E,S. cerevisiae,339
E,S. cerevisiae,343
E,S. cerevisiae,327
E,S. cerevisiae,343
E,S. cerevisiae,324
E,S. cerevisiae,265
E,S. cerevisiae,259
E,S. cerevisiae,341
E,S. cerevisiae,281
E,S. cerevisiae,336
E,S. cerevisiae,325
E,S. cerevisiae,340
E,S. cerevisiae,327
E,S. cerevisiae,341
E,S. cerevisiae,324
E,S. cerevisiae,278
E,S. cerevisiae,331
E,S. cerevisiae,342
E,S. cerevisiae,293
E,S. cerevisiae,309
E,S. cerevisiae,293
E,S. cerevisiae,341
E,S. cerevisiae,267
E,S. cerevisiae,343
E,S. cerevisiae,270
E,S. cerevisiae,343
E,S. cerevisiae,328
E,S. cerevisiae,321
E,S. cerevisiae,340
E,S. cerevisiae,235
E,S. cerevisiae,342
E,S. cerevisiae,338
E,S. cerevisiae,342
E,S. cerevisiae,64
E,S. cerevisiae,66
E,S. cerevisiae,113
E,S. cerevisiae,322
E,S. cerevisiae,234
E,S. cerevisiae,343
E,S. cerevisiae,279
E,S. cerevisiae,330
E,S. cerevisiae,338
E,S. cerevisiae,341
E,S. cerevisiae,340
E,S. cerevisiae,296
E,S. cerevisiae,343
E,S. cerevisiae,324
E,S. cerevisiae,78
E,S. cerevisiae,343
E,S. cerevisiae,297
E,S. cerevisiae,303
E,S. cerevisiae,339
E,S. cerevisiae,6
E,S. cerevisiae,324
E,S. cerevisiae,308
E,S. cerevisiae,340
E,S. cerevisiae,288
E,S. cerevisiae,336
E,S. cerevisiae,316
E,S. cerevisiae,318
E,S. cerevisiae,342
E,S. cerevisiae,308
E,S. cerevisiae,342
E,S. cerevisiae,80
E,S. cerevisiae,336
E,S. cerevisiae,327
E,S. cerevisiae,339
E,S. cerevisiae,341
E,S. cerevisiae,322
E,S. cerevisiae,255
E,S. cerevisiae,325
E,S. cerevisiae,235
E,S. cerevisiae,342
E,S. cerevisiae,342
E,S. cerevisiae,325
E,S. cerevisiae,328
E,S. cerevisiae,66
E,S. cerevisiae,341
E,S. cerevisiae,343
E,S. cerevisiae,320
E,S. cerevisiae,343
E,S. cerevisiae,314
E,S. cerevisiae,343
E,S. cerevisiae,288
E,S. cerevisiae,343
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,299
E,S. cerevisiae,317
E,S. cerevisiae,280
E,S. cerevisiae,324
E,S. cerevisiae,334
E,S. cerevisiae,334
E,S. cerevisiae,237
E,S. cerevisiae,343
E,S. cerevisiae,204
E,S. cerevisiae,334
E,S. cerevisiae,325
E,S. cerevisiae,340
E,S. cerevisiae,328
E,S. cerevisiae,343
E,S. cerevisiae,312
E,S. cerevisiae,343
E,S. cerevisiae,342
E,S. cerevisiae,336
E,S. cerevisiae,319
E,S. cerevisiae,313
E,S. cerevisiae,280
E,S. cerevisiae,331
E,S. cerevisiae,315
E,S. cerevisiae,295
E,S. cerevisiae,342
E,S. cerevisiae,324
E,S. cerevisiae,311
E,S. cerevisiae,316
E,S. cerevisiae,343
E,S. cerevisiae,237
E,S. cerevisiae,288
E,S. cerevisiae,330
E,S. cerevisiae,335
E,S. cerevisiae,340
NE,S. cerevisiae,106
NE,S. cerevisiae,32
NE,S. cerevisiae,32
NE,S. cerevisiae,149
NE,S. cerevisiae,149
NE,S. cerevisiae,40
NE,S. cerevisiae,4
NE,S. cerevisiae,1
NE,S. cerevisiae,131
NE,S. cerevisiae,124
NE,S. cerevisiae,34
NE,S. cerevisiae,124
NE,S. cerevisiae,53
NE,S. cerevisiae,98
NE,S. cerevisiae,1
NE,S. cerevisiae,5
NE,S. cerevisiae,157
NE,S. cerevisiae,1
NE,S. cerevisiae,66
NE,S. cerevisiae,7
NE,S. cerevisiae,4
NE,S. cerevisiae,1
NE,S. cerevisiae,2
NE,S. cerevisiae,335
NE,S. cerevisiae,343
NE,S. cerevisiae,112
NE,S. cerevisiae,4
NE,S. cerevisiae,298
NE,S. cerevisiae,338
NE,S. cerevisiae,76
NE,S. cerevisiae,332
NE,S. cerevisiae,296
NE,S. cerevisiae,300
NE,S. cerevisiae,342
NE,S. cerevisiae,333
NE,S. cerevisiae,67
NE,S. cerevisiae,343
