type,organism,dnds
E,S. cerevisiae,0.214
E,S. cerevisiae,0.09
E,S. cerevisiae,0.2096
E,S. cerevisiae,0.0512
E,S. cerevisiae,0.0847
E,S. cerevisiae,0.2142
E,S. cerevisiae,0.0654
E,S. cerevisiae,0.1477
E,S. cerevisiae,0.1442
E,S. cerevisiae,0.0171
E,S. cerevisiae,0.1351
E,S. cerevisiae,0.1467
E,S. cerevisiae,0.0469
E,S. cerevisiae,0.0502
E,S. cerevisiae,0.1355
E,S. cerevisiae,0.1162
E,S. cerevisiae,0.196
E,S. cerevisiae,0.0881
E,S. cerevisiae,0.0795
E,S. cerevisiae,0.1284
E,S. cerevisiae,0.1236
E,S. cerevisiae,0.0761
E,S. cerevisiae,0.1037
E,S. cerevisiae,0.0782
E,S. cerevisiae,0.1344
E,S. cerevisiae,0.055
E,S. cerevisiae,0.1207
E,S. cerevisiae,0.2239
E,S. cerevisiae,0.22125
E,S. cerevisiae,0.10395
E,S. cerevisiae,0.0587
E,S. cerevisiae,0.1222
E,S. cerevisiae,0.1794
E,S. cerevisiae,0.039
E,S. cerevisiae,0.0502
E,S. cerevisiae,0.1595
E,S. cerevisiae,0.0689
E,S. cerevisiae,0.0568
E,S. cerevisiae,0.0679
E,S. cerevisiae,0.1647
E,S. cerevisiae,0.1462
E,S. cerevisiae,0.0367
E,S. cerevisiae,0.0864
E,S. cerevisiae,0.0478
E,S. cerevisiae,0.0776
E,S. cerevisiae,0.1301
E,S. cerevisiae,0.4558
E,S. cerevisiae,0.1795
E,S. cerevisiae,0.1638
E,S. cerevisiae,0.1711
E,S. cerevisiae,0.0454
E,S. cerevisiae,0.1946
E,S. cerevisiae,0.3704
E,S. cerevisiae,0.25845
E,S. cerevisiae,0.1391
E,S. cerevisiae,0.0767
E,S. cerevisiae,0.1692
E,S. cerevisiae,0.5112
E,S. cerevisiae,0.0737
E,S. cerevisiae,0.1273
E,S. cerevisiae,0.0496
E,S. cerevisiae,0.049
E,S. cerevisiae,0.3176
E,S. cerevisiae,0.0871
E,S. cerevisiae,0.0531
E,S. cerevisiae,0.1608
E,S. cerevisiae,0.1682
E,S. cerevisiae,0.06914999999999999
E,S. cerevisiae,0.0952
E,S. cerevisiae,0.0344
E,S. cerevisiae,0.1376
E,S. cerevisiae,0.0486
E,S. cerevisiae,0.2833
E,S. cerevisiae,0.1135
E,S. cerevisiae,0.0814
E,S. cerevisiae,0.1837
E,S. cerevisiae,0.1105
E,S. cerevisiae,0.1639
E,S. cerevisiae,0.1014
E,S. cerevisiae,0.1239
E,S. cerevisiae,0.20029999999999998
E,S. cerevisiae,0.1249
E,S. cerevisiae,0.2469
E,S. cerevisiae,0.3887
E,S. cerevisiae,0.1431
E,S. cerevisiae,0.2082
E,S. cerevisiae,0.1227
E,S. cerevisiae,0.2419
E,S. cerevisiae,0.1099
E,S. cerevisiae,0.1484
E,S. cerevisiae,0.0857
E,S. cerevisiae,0.0428
E,S. cerevisiae,0.0382
E,S. cerevisiae,0.0721
E,S. cerevisiae,0.0651
E,S. cerevisiae,0.3147
E,S. cerevisiae,0.1343
E,S. cerevisiae,0.2707
E,S. cerevisiae,0.0746
E,S. cerevisiae,0.25255
E,S. cerevisiae,0.0967
E,S. cerevisiae,0.1412
E,S. cerevisiae,0.0952
E,S. cerevisiae,0.103
E,S. cerevisiae,0.0208
E,S. cerevisiae,0.1664
E,S. cerevisiae,0.1987
E,S. cerevisiae,0.1015
E,S. cerevisiae,0.1268
E,S. cerevisiae,0.1345
E,S. cerevisiae,0.2011
E,S. cerevisiae,0.1893
E,S. cerevisiae,0.1749
E,S. cerevisiae,0.1213
E,S. cerevisiae,0.17885
E,S. cerevisiae,0.1223
E,S. cerevisiae,0.0776
E,S. cerevisiae,0.1404
E,S. cerevisiae,0.1178
E,S. cerevisiae,0.1763
E,S. cerevisiae,0.1601
E,S. cerevisiae,0.1331
E,S. cerevisiae,0.1819
E,S. cerevisiae,0.06885
E,S. cerevisiae,0.1964
E,S. cerevisiae,0.3017
E,S. cerevisiae,0.1765
E,S. cerevisiae,0.0487
E,S. cerevisiae,0.1203
E,S. cerevisiae,0.0836
E,S. cerevisiae,0.1808
E,S. cerevisiae,0.2655
E,S. cerevisiae,0.0522
E,S. cerevisiae,0.2629
E,S. cerevisiae,0.0879
E,S. cerevisiae,0.0724
E,S. cerevisiae,0.0448
E,S. cerevisiae,0.3353
E,S. cerevisiae,0.06825
E,S. cerevisiae,0.0782
E,S. cerevisiae,0.2962
E,S. cerevisiae,0.1095
E,S. cerevisiae,0.2257
E,S. cerevisiae,0.1205
E,S. cerevisiae,0.0342
E,S. cerevisiae,0.1623
E,S. cerevisiae,0.0385
E,S. cerevisiae,0.3455
E,S. cerevisiae,0.06295
E,S. cerevisiae,0.151
E,S. cerevisiae,0.1786
E,S. cerevisiae,0.0788
E,S. cerevisiae,0.3508
E,S. cerevisiae,0.0497
E,S. cerevisiae,0.2072
E,S. cerevisiae,0.1736
E,S. cerevisiae,0.0118
E,S. cerevisiae,0.0231
E,S. cerevisiae,0.1362
E,S. cerevisiae,0.0094
E,S. cerevisiae,0.0328
E,S. cerevisiae,0.1748
E,S. cerevisiae,0.1682
E,S. cerevisiae,0.0166
E,S. cerevisiae,0.3088
E,S. cerevisiae,0.1449
E,S. cerevisiae,0.1202
E,S. cerevisiae,0.1015
E,S. cerevisiae,0.0296
E,S. cerevisiae,0.0296
E,S. cerevisiae,0.1129
E,S. cerevisiae,0.0733
E,S. cerevisiae,0.2003
E,S. cerevisiae,0.0725
E,S. cerevisiae,0.1005
E,S. cerevisiae,0.0698
E,S. cerevisiae,0.1098
E,S. cerevisiae,0.1261
E,S. cerevisiae,0.0441
E,S. cerevisiae,0.0292
E,S. cerevisiae,0.0764
E,S. cerevisiae,0.08875
E,S. cerevisiae,0.07155
E,S. cerevisiae,0.046
E,S. cerevisiae,0.2721
E,S. cerevisiae,0.2372
E,S. cerevisiae,0.0632
E,S. cerevisiae,0.1351
E,S. cerevisiae,0.1258
E,S. cerevisiae,0.0848
E,S. cerevisiae,0.2185
E,S. cerevisiae,0.1055
E,S. cerevisiae,0.211
E,S. cerevisiae,0.0792
E,S. cerevisiae,0.0757
E,S. cerevisiae,0.2307
E,S. cerevisiae,0.0526
E,S. cerevisiae,0.1214
E,S. cerevisiae,0.0617
E,S. cerevisiae,0.176
E,S. cerevisiae,0.1553
E,S. cerevisiae,0.0149
E,S. cerevisiae,0.0581
E,S. cerevisiae,0.17495
E,S. cerevisiae,0.1022
E,S. cerevisiae,0.0699
E,S. cerevisiae,0.1029
E,S. cerevisiae,0.3082
E,S. cerevisiae,0.0507
E,S. cerevisiae,0.2333
E,S. cerevisiae,0.2792
E,S. cerevisiae,0.0498
E,S. cerevisiae,0.2077
E,S. cerevisiae,0.0559
E,S. cerevisiae,0.0949
E,S. cerevisiae,0.2146
E,S. cerevisiae,0.0889
E,S. cerevisiae,0.1703
E,S. cerevisiae,0.0622
E,S. cerevisiae,0.1522
E,S. cerevisiae,0.1347
E,S. cerevisiae,0.21275
E,S. cerevisiae,0.1236
E,S. cerevisiae,0.0856
E,S. cerevisiae,0.1498
E,S. cerevisiae,0.30205000000000004
E,S. cerevisiae,0.0413
E,S. cerevisiae,0.1641
E,S. cerevisiae,0.0805
E,S. cerevisiae,0.0741
E,S. cerevisiae,0.2291
E,S. cerevisiae,0.0448
E,S. cerevisiae,0.0746
E,S. cerevisiae,0.0825
E,S. cerevisiae,0.3949
E,S. cerevisiae,0.1208
E,S. cerevisiae,0.0814
E,S. cerevisiae,0.2778
E,S. cerevisiae,0.1163
E,S. cerevisiae,0.1313
E,S. cerevisiae,0.09755
E,S. cerevisiae,0.1582
E,S. cerevisiae,0.0872
E,S. cerevisiae,0.08415
E,S. cerevisiae,0.2343
E,S. cerevisiae,0.1337
E,S. cerevisiae,0.0973
E,S. cerevisiae,0.0475
E,S. cerevisiae,0.1588
E,S. cerevisiae,0.1572
E,S. cerevisiae,0.18505
E,S. cerevisiae,0.0953
E,S. cerevisiae,0.1084
E,S. cerevisiae,0.1958
E,S. cerevisiae,0.0489
E,S. cerevisiae,0.191
E,S. cerevisiae,0.1406
E,S. cerevisiae,0.2829
E,S. cerevisiae,0.0604
E,S. cerevisiae,0.1442
E,S. cerevisiae,0.1687
E,S. cerevisiae,0.28225
E,S. cerevisiae,0.405
E,S. cerevisiae,0.1534
E,S. cerevisiae,0.0601
E,S. cerevisiae,0.1487
E,S. cerevisiae,0.1963
E,S. cerevisiae,0.2405
E,S. cerevisiae,0.1195
E,S. cerevisiae,0.12
E,S. cerevisiae,0.2336
E,S. cerevisiae,0.0585
E,S. cerevisiae,0.1121
E,S. cerevisiae,0.1307
E,S. cerevisiae,0.2281
E,S. cerevisiae,0.065
E,S. cerevisiae,0.3412
E,S. cerevisiae,0.0285
E,S. cerevisiae,0.0619
E,S. cerevisiae,0.0948
E,S. cerevisiae,0.1652
E,S. cerevisiae,0.0423
E,S. cerevisiae,0.0565
E,S. cerevisiae,0.036
E,S. cerevisiae,0.083
E,S. cerevisiae,0.1773
E,S. cerevisiae,0.1647
E,S. cerevisiae,0.112
E,S. cerevisiae,0.1693
E,S. cerevisiae,0.0833
E,S. cerevisiae,0.0536
E,S. cerevisiae,0.073
E,S. cerevisiae,0.1145
E,S. cerevisiae,0.1128
E,S. cerevisiae,0.232
E,S. cerevisiae,0.2352
E,S. cerevisiae,0.0758
E,S. cerevisiae,0.1544
E,S. cerevisiae,0.1609
E,S. cerevisiae,0.0637
E,S. cerevisiae,0.041
E,S. cerevisiae,0.0537
E,S. cerevisiae,0.0666
E,S. cerevisiae,0.0598
E,S. cerevisiae,0.0676
E,S. cerevisiae,0.0501
E,S. cerevisiae,0.2585
E,S. cerevisiae,0.0695
E,S. cerevisiae,0.0413
E,S. cerevisiae,0.2561
E,S. cerevisiae,0.0519
E,S. cerevisiae,0.0434
E,S. cerevisiae,0.1224
E,S. cerevisiae,0.0511
E,S. cerevisiae,0.0343
E,S. cerevisiae,0.1185
E,S. cerevisiae,0.1036
E,S. cerevisiae,0.0385
E,S. cerevisiae,0.0941
E,S. cerevisiae,0.0742
E,S. cerevisiae,0.0325
E,S. cerevisiae,0.3661
E,S. cerevisiae,0.1215
E,S. cerevisiae,0.0806
E,S. cerevisiae,0.2242
E,S. cerevisiae,0.4115
E,S. cerevisiae,0.0696
E,S. cerevisiae,0.2404
E,S. cerevisiae,0.1442
E,S. cerevisiae,0.0864
E,S. cerevisiae,0.1313
E,S. cerevisiae,0.1993
E,S. cerevisiae,0.15165
E,S. cerevisiae,0.0543
E,S. cerevisiae,0.0518
E,S. cerevisiae,0.0915
E,S. cerevisiae,0.1622
E,S. cerevisiae,0.2187
E,S. cerevisiae,0.1604
E,S. cerevisiae,0.4129
E,S. cerevisiae,0.0716
E,S. cerevisiae,0.047
E,S. cerevisiae,0.0397
E,S. cerevisiae,0.1127
E,S. cerevisiae,0.111
E,S. cerevisiae,0.0984
E,S. cerevisiae,0.0432
E,S. cerevisiae,0.3117
E,S. cerevisiae,0.1681
E,S. cerevisiae,0.0421
E,S. cerevisiae,0.0218
E,S. cerevisiae,0.1341
E,S. cerevisiae,0.0696
E,S. cerevisiae,0.2068
E,S. cerevisiae,0.0695
E,S. cerevisiae,0.0959
E,S. cerevisiae,0.1685
E,S. cerevisiae,0.1456
E,S. cerevisiae,0.1301
E,S. cerevisiae,0.2015
E,S. cerevisiae,0.0893
E,S. cerevisiae,0.0667
E,S. cerevisiae,0.1773
E,S. cerevisiae,0.0483
E,S. cerevisiae,0.0702
E,S. cerevisiae,0.1078
E,S. cerevisiae,0.2018
E,S. cerevisiae,0.0476
E,S. cerevisiae,0.1874
E,S. cerevisiae,0.4816
E,S. cerevisiae,0.027
E,S. cerevisiae,0.129
E,S. cerevisiae,0.0672
E,S. cerevisiae,0.1171
E,S. cerevisiae,0.3009
E,S. cerevisiae,0.1384
E,S. cerevisiae,0.132
E,S. cerevisiae,0.3623
E,S. cerevisiae,0.1119
E,S. cerevisiae,0.1677
E,S. cerevisiae,0.1252
E,S. cerevisiae,0.104
E,S. cerevisiae,0.1394
E,S. cerevisiae,0.2716
E,S. cerevisiae,0.1114
E,S. cerevisiae,0.2029
E,S. cerevisiae,0.1076
E,S. cerevisiae,0.16025
E,S. cerevisiae,0.1264
E,S. cerevisiae,0.30435
E,S. cerevisiae,0.0465
E,S. cerevisiae,0.0827
E,S. cerevisiae,0.0688
E,S. cerevisiae,0.1135
E,S. cerevisiae,0.064
E,S. cerevisiae,0.1209
E,S. cerevisiae,0.1728
E,S. cerevisiae,0.1468
E,S. cerevisiae,0.2116
E,S. cerevisiae,0.10245
E,S. cerevisiae,0.1344
E,S. cerevisiae,0.0707
E,S. cerevisiae,0.21345
E,S. cerevisiae,0.1215
E,S. cerevisiae,0.0362
E,S. cerevisiae,0.1238
E,S. cerevisiae,0.1639
E,S. cerevisiae,0.4053
E,S. cerevisiae,0.2552
E,S. cerevisiae,0.1461
E,S. cerevisiae,0.1193
E,S. cerevisiae,0.0452
E,S. cerevisiae,0.045
E,S. cerevisiae,0.12735000000000002
E,S. cerevisiae,0.0949
E,S. cerevisiae,0.0504
E,S. cerevisiae,0.0361
E,S. cerevisiae,0.16285
E,S. cerevisiae,0.1087
E,S. cerevisiae,0.2693
E,S. cerevisiae,0.0862
E,S. cerevisiae,0.1866
E,S. cerevisiae,0.0674
E,S. cerevisiae,0.4042
E,S. cerevisiae,0.2092
E,S. cerevisiae,0.0772
E,S. cerevisiae,0.4481
E,S. cerevisiae,0.089
E,S. cerevisiae,0.1648
E,S. cerevisiae,0.1051
E,S. cerevisiae,0.0978
E,S. cerevisiae,0.0695
E,S. cerevisiae,0.129
E,S. cerevisiae,0.3588
E,S. cerevisiae,0.04315
E,S. cerevisiae,0.1215
E,S. cerevisiae,0.1189
E,S. cerevisiae,0.0746
E,S. cerevisiae,0.15905
E,S. cerevisiae,0.1118
E,S. cerevisiae,0.1252
E,S. cerevisiae,0.0666
E,S. cerevisiae,0.0788
E,S. cerevisiae,0.1378
E,S. cerevisiae,0.05045
E,S. cerevisiae,0.10665
E,S. cerevisiae,0.1367
E,S. cerevisiae,0.131
E,S. cerevisiae,0.0441
E,S. cerevisiae,0.1533
E,S. cerevisiae,0.1046
E,S. cerevisiae,0.1614
E,S. cerevisiae,0.166
E,S. cerevisiae,0.1422
E,S. cerevisiae,0.0222
E,S. cerevisiae,0.0901
E,S. cerevisiae,0.0814
E,S. cerevisiae,0.0763
E,S. cerevisiae,0.1195
E,S. cerevisiae,0.1762
E,S. cerevisiae,0.0844
E,S. cerevisiae,0.1131
E,S. cerevisiae,0.066
E,S. cerevisiae,0.049
E,S. cerevisiae,0.045
E,S. cerevisiae,0.0557
E,S. cerevisiae,0.0478
E,S. cerevisiae,0.2538
E,S. cerevisiae,0.10594999999999999
E,S. cerevisiae,0.23335
E,S. cerevisiae,0.2538
E,S. cerevisiae,0.1832
E,S. cerevisiae,0.0394
E,S. cerevisiae,0.1473
E,S. cerevisiae,0.159
E,S. cerevisiae,0.1012
E,S. cerevisiae,0.0855
E,S. cerevisiae,0.0945
E,S. cerevisiae,0.0758
E,S. cerevisiae,0.3023
E,S. cerevisiae,0.2569
E,S. cerevisiae,0.1018
E,S. cerevisiae,0.0583
E,S. cerevisiae,0.0714
E,S. cerevisiae,0.0777
E,S. cerevisiae,0.1051
E,S. cerevisiae,0.048
E,S. cerevisiae,0.1879
E,S. cerevisiae,0.1715
E,S. cerevisiae,0.0612
E,S. cerevisiae,0.1059
E,S. cerevisiae,0.1042
E,S. cerevisiae,0.20345
E,S. cerevisiae,0.092
E,S. cerevisiae,0.0545
E,S. cerevisiae,0.3807
E,S. cerevisiae,0.0792
E,S. cerevisiae,0.094
E,S. cerevisiae,0.0631
E,S. cerevisiae,0.2111
E,S. cerevisiae,0.1128
E,S. cerevisiae,0.15495
E,S. cerevisiae,0.0737
E,S. cerevisiae,0.156
E,S. cerevisiae,0.4486
E,S. cerevisiae,0.0908
E,S. cerevisiae,0.2065
E,S. cerevisiae,0.0683
E,S. cerevisiae,0.1254
E,S. cerevisiae,0.0699
E,S. cerevisiae,0.1125
E,S. cerevisiae,0.1346
E,S. cerevisiae,0.0558
E,S. cerevisiae,0.1771
E,S. cerevisiae,0.1054
E,S. cerevisiae,0.1341
E,S. cerevisiae,0.2602
E,S. cerevisiae,0.0794
E,S. cerevisiae,0.2432
E,S. cerevisiae,0.2101
E,S. cerevisiae,0.1753
E,S. cerevisiae,0.1115
E,S. cerevisiae,0.04055
E,S. cerevisiae,0.2705
E,S. cerevisiae,0.0516
E,S. cerevisiae,0.0314
E,S. cerevisiae,0.028
E,S. cerevisiae,0.101
E,S. cerevisiae,0.0736
E,S. cerevisiae,0.0478
E,S. cerevisiae,0.071
E,S. cerevisiae,0.13724999999999998
E,S. cerevisiae,0.1209
E,S. cerevisiae,0.0991
E,S. cerevisiae,0.08
E,S. cerevisiae,0.0116
E,S. cerevisiae,0.0507
E,S. cerevisiae,0.1181
E,S. cerevisiae,0.047
E,S. cerevisiae,0.0968
E,S. cerevisiae,0.0957
E,S. cerevisiae,0.0203
E,S. cerevisiae,0.1958
E,S. cerevisiae,0.0944
E,S. cerevisiae,0.1218
E,S. cerevisiae,0.0595
E,S. cerevisiae,0.256
E,S. cerevisiae,0.0775
E,S. cerevisiae,0.1039
E,S. cerevisiae,0.1249
E,S. cerevisiae,0.0984
E,S. cerevisiae,0.0668
E,S. cerevisiae,0.0357
E,S. cerevisiae,0.0636
E,S. cerevisiae,0.1367
E,S. cerevisiae,0.0752
E,S. cerevisiae,0.0825
E,S. cerevisiae,0.22244999999999998
E,S. cerevisiae,0.0956
E,S. cerevisiae,0.1217
E,S. cerevisiae,0.3501
E,S. cerevisiae,0.18375
E,S. cerevisiae,0.2593
E,S. cerevisiae,0.1361
E,S. cerevisiae,0.1051
E,S. cerevisiae,0.3172
E,S. cerevisiae,0.20395
E,S. cerevisiae,0.2078
E,S. cerevisiae,0.1558
E,S. cerevisiae,0.1899
E,S. cerevisiae,0.025349999999999998
E,S. cerevisiae,0.1203
E,S. cerevisiae,0.0796
E,S. cerevisiae,0.2364
E,S. cerevisiae,0.0232
E,S. cerevisiae,0.1475
E,S. cerevisiae,0.0513
E,S. cerevisiae,0.0844
E,S. cerevisiae,0.1898
E,S. cerevisiae,0.1227
E,S. cerevisiae,0.2412
E,S. cerevisiae,0.1294
E,S. cerevisiae,0.0557
E,S. cerevisiae,0.2085
E,S. cerevisiae,0.08305
E,S. cerevisiae,0.0529
E,S. cerevisiae,0.1488
E,S. cerevisiae,0.3248
E,S. cerevisiae,0.1439
E,S. cerevisiae,0.1611
E,S. cerevisiae,0.0172
E,S. cerevisiae,0.0848
E,S. cerevisiae,0.0515
E,S. cerevisiae,0.1972
E,S. cerevisiae,0.1692
E,S. cerevisiae,0.2369
E,S. cerevisiae,0.0416
E,S. cerevisiae,0.0907
E,S. cerevisiae,0.2836
E,S. cerevisiae,0.0589
E,S. cerevisiae,0.317
E,S. cerevisiae,0.1351
E,S. cerevisiae,0.4229
E,S. cerevisiae,0.0552
E,S. cerevisiae,0.0677
E,S. cerevisiae,0.1116
E,S. cerevisiae,0.1071
E,S. cerevisiae,0.3255
E,S. cerevisiae,0.2452
E,S. cerevisiae,0.1358
E,S. cerevisiae,0.076
E,S. cerevisiae,0.0891
E,S. cerevisiae,0.118
E,S. cerevisiae,0.1893
E,S. cerevisiae,0.1034
E,S. cerevisiae,0.2915
E,S. cerevisiae,0.128
E,S. cerevisiae,0.1559
E,S. cerevisiae,0.1433
E,S. cerevisiae,0.0717
E,S. cerevisiae,0.0965
E,S. cerevisiae,0.15039999999999998
E,S. cerevisiae,0.1251
E,S. cerevisiae,0.0472
E,S. cerevisiae,0.1457
E,S. cerevisiae,0.0893
E,S. cerevisiae,0.14845
E,S. cerevisiae,0.0835
E,S. cerevisiae,0.0298
E,S. cerevisiae,0.1372
E,S. cerevisiae,0.1473
E,S. cerevisiae,0.0536
E,S. cerevisiae,0.0476
E,S. cerevisiae,0.1327
E,S. cerevisiae,0.0817
E,S. cerevisiae,0.1497
E,S. cerevisiae,0.0467
E,S. cerevisiae,0.0546
E,S. cerevisiae,0.1269
E,S. cerevisiae,0.1616
E,S. cerevisiae,0.0856
E,S. cerevisiae,0.3403
E,S. cerevisiae,0.1386
E,S. cerevisiae,0.0262
E,S. cerevisiae,0.0655
E,S. cerevisiae,0.0635
E,S. cerevisiae,0.0548
E,S. cerevisiae,0.0658
E,S. cerevisiae,0.13055
E,S. cerevisiae,0.1458
E,S. cerevisiae,0.038
E,S. cerevisiae,0.0663
E,S. cerevisiae,0.0969
E,S. cerevisiae,0.1171
E,S. cerevisiae,0.376
E,S. cerevisiae,0.121
E,S. cerevisiae,0.0334
E,S. cerevisiae,0.1018
E,S. cerevisiae,0.2943
E,S. cerevisiae,0.2204
E,S. cerevisiae,0.1263
E,S. cerevisiae,0.159
E,S. cerevisiae,0.317
E,S. cerevisiae,0.0145
E,S. cerevisiae,0.0799
E,S. cerevisiae,0.0685
E,S. cerevisiae,0.1698
E,S. cerevisiae,0.1192
E,S. cerevisiae,0.1794
E,S. cerevisiae,0.027
E,S. cerevisiae,0.0951
E,S. cerevisiae,0.1507
E,S. cerevisiae,0.1334
E,S. cerevisiae,0.1092
E,S. cerevisiae,0.1514
E,S. cerevisiae,0.1278
E,S. cerevisiae,0.1618
E,S. cerevisiae,0.0866
E,S. cerevisiae,0.0934
E,S. cerevisiae,0.1238
E,S. cerevisiae,0.3658
E,S. cerevisiae,0.25795
E,S. cerevisiae,0.241
E,S. cerevisiae,0.0568
E,S. cerevisiae,0.1784
E,S. cerevisiae,0.0542
E,S. cerevisiae,0.1526
E,S. cerevisiae,0.2686
E,S. cerevisiae,0.0931
E,S. cerevisiae,0.0736
E,S. cerevisiae,0.1525
E,S. cerevisiae,0.101
E,S. cerevisiae,0.0818
E,S. cerevisiae,0.2128
E,S. cerevisiae,0.1049
E,S. cerevisiae,0.0838
E,S. cerevisiae,0.085
E,S. cerevisiae,0.035
E,S. cerevisiae,0.0913
E,S. cerevisiae,0.2068
E,S. cerevisiae,0.0915
E,S. cerevisiae,0.1477
E,S. cerevisiae,0.0726
E,S. cerevisiae,0.1109
E,S. cerevisiae,0.0424
E,S. cerevisiae,0.0903
E,S. cerevisiae,0.105
E,S. cerevisiae,0.0949
E,S. cerevisiae,0.0584
E,S. cerevisiae,0.1317
E,S. cerevisiae,0.1557
E,S. cerevisiae,0.233
E,S. cerevisiae,0.0617
E,S. cerevisiae,0.15395
E,S. cerevisiae,0.0544
E,S. cerevisiae,0.2571
E,S. cerevisiae,0.0538
E,S. cerevisiae,0.1674
E,S. cerevisiae,0.0653
E,S. cerevisiae,0.0376
E,S. cerevisiae,0.1563
E,S. cerevisiae,0.08285000000000001
E,S. cerevisiae,0.1293
E,S. cerevisiae,0.0431
E,S. cerevisiae,0.0761
E,S. cerevisiae,0.1695
E,S. cerevisiae,0.0213
E,S. cerevisiae,0.1414
E,S. cerevisiae,0.1571
E,S. cerevisiae,0.2089
E,S. cerevisiae,0.167
E,S. cerevisiae,0.1204
E,S. cerevisiae,0.0891
E,S. cerevisiae,0.0605
E,S. cerevisiae,0.0708
E,S. cerevisiae,0.0879
E,S. cerevisiae,0.2045
E,S. cerevisiae,0.16055
E,S. cerevisiae,0.1114
E,S. cerevisiae,0.0505
E,S. cerevisiae,0.2527
E,S. cerevisiae,0.1433
E,S. cerevisiae,0.1045
E,S. cerevisiae,0.1903
E,S. cerevisiae,0.1584
E,S. cerevisiae,0.0918
E,S. cerevisiae,0.0229
E,S. cerevisiae,0.0688
E,S. cerevisiae,0.1649
E,S. cerevisiae,0.0324
E,S. cerevisiae,0.2765
E,S. cerevisiae,0.1606
E,S. cerevisiae,0.0485
E,S. cerevisiae,0.085
E,S. cerevisiae,0.151
E,S. cerevisiae,0.0507
E,S. cerevisiae,0.2422
E,S. cerevisiae,0.0848
E,S. cerevisiae,0.0676
E,S. cerevisiae,0.0642
E,S. cerevisiae,0.0609
E,S. cerevisiae,0.1207
E,S. cerevisiae,0.0671
E,S. cerevisiae,0.0425
E,S. cerevisiae,0.112
E,S. cerevisiae,0.07295
E,S. cerevisiae,0.12065000000000001
E,S. cerevisiae,0.0501
E,S. cerevisiae,0.2225
E,S. cerevisiae,0.1437
E,S. cerevisiae,0.1625
