type,organism,conservation_score
E,S. cerevisiae,0.650805
E,S. cerevisiae,0.754087
E,S. cerevisiae,0.402128
E,S. cerevisiae,0.534531
E,S. cerevisiae,0.356334
E,S. cerevisiae,0.5792055
E,S. cerevisiae,0.458118
E,S. cerevisiae,0.651614
E,S. cerevisiae,0.527291
E,S. cerevisiae,0.55784
E,S. cerevisiae,0.5863095
E,S. cerevisiae,0.801234
E,S. cerevisiae,0.709702
E,S. cerevisiae,0.445515
E,S. cerevisiae,0.558213
E,S. cerevisiae,0.395362
E,S. cerevisiae,0.509923
E,S. cerevisiae,0.4072675
E,S. cerevisiae,0.528091
E,S. cerevisiae,0.5784765
E,S. cerevisiae,0.4075565
E,S. cerevisiae,0.503833
E,S. cerevisiae,0.5164725
E,S. cerevisiae,0.702787
E,S. cerevisiae,0.564162
E,S. cerevisiae,0.398669
E,S. cerevisiae,0.479377
E,S. cerevisiae,0.534376
E,S. cerevisiae,0.479735
E,S. cerevisiae,0.47921
E,S. cerevisiae,0.7066045
E,S. cerevisiae,0.566034
E,S. cerevisiae,0.363735
E,S. cerevisiae,0.501581
E,S. cerevisiae,0.694651
E,S. cerevisiae,0.506852
E,S. cerevisiae,0.659544
E,S. cerevisiae,0.476552
E,S. cerevisiae,0.349581
E,S. cerevisiae,0.760305
E,S. cerevisiae,0.38287
E,S. cerevisiae,0.787127
E,S. cerevisiae,0.429801
E,S. cerevisiae,0.5964
E,S. cerevisiae,0.6616885
E,S. cerevisiae,0.6529125
E,S. cerevisiae,0.354826
E,S. cerevisiae,0.7492575
E,S. cerevisiae,0.6860325
E,S. cerevisiae,0.559892
E,S. cerevisiae,0.43558
E,S. cerevisiae,0.61982
E,S. cerevisiae,0.4161355
E,S. cerevisiae,0.606432
E,S. cerevisiae,0.765724
E,S. cerevisiae,0.5178025
E,S. cerevisiae,0.7449575
E,S. cerevisiae,0.399064
E,S. cerevisiae,0.788618
E,S. cerevisiae,0.571653
E,S. cerevisiae,0.622807
E,S. cerevisiae,0.674762
E,S. cerevisiae,0.4180295
E,S. cerevisiae,0.755236
E,S. cerevisiae,0.475349
E,S. cerevisiae,0.584544
E,S. cerevisiae,0.7584935
E,S. cerevisiae,0.805187
E,S. cerevisiae,0.488194
E,S. cerevisiae,0.814245
E,S. cerevisiae,0.715686
E,S. cerevisiae,0.6477775
E,S. cerevisiae,0.457547
E,S. cerevisiae,0.801136
E,S. cerevisiae,0.441782
E,S. cerevisiae,0.614924
E,S. cerevisiae,0.6203285
E,S. cerevisiae,0.495691
E,S. cerevisiae,0.465745
E,S. cerevisiae,0.465745
E,S. cerevisiae,0.5318095
E,S. cerevisiae,0.714605
E,S. cerevisiae,0.438956
E,S. cerevisiae,0.548454
E,S. cerevisiae,0.601239
E,S. cerevisiae,0.7227815
E,S. cerevisiae,0.507932
E,S. cerevisiae,0.451426
E,S. cerevisiae,0.7616815
E,S. cerevisiae,0.761661
E,S. cerevisiae,0.815318
E,S. cerevisiae,0.754164
E,S. cerevisiae,0.4702205
E,S. cerevisiae,0.5069955
E,S. cerevisiae,0.7625075
E,S. cerevisiae,0.472177
E,S. cerevisiae,0.469057
E,S. cerevisiae,0.674032
E,S. cerevisiae,0.481015
E,S. cerevisiae,0.521625
E,S. cerevisiae,0.522746
E,S. cerevisiae,0.5960835
E,S. cerevisiae,0.6816615
E,S. cerevisiae,0.578198
E,S. cerevisiae,0.666816
E,S. cerevisiae,0.751905
E,S. cerevisiae,0.7139795
E,S. cerevisiae,0.458209
E,S. cerevisiae,0.717782
E,S. cerevisiae,0.715056
E,S. cerevisiae,0.714555
E,S. cerevisiae,0.496979
E,S. cerevisiae,0.3903725
E,S. cerevisiae,0.8045385
E,S. cerevisiae,0.674454
E,S. cerevisiae,0.5149145
E,S. cerevisiae,0.58113
E,S. cerevisiae,0.671602
E,S. cerevisiae,0.530536
E,S. cerevisiae,0.407028
E,S. cerevisiae,0.7309375
E,S. cerevisiae,0.352392
E,S. cerevisiae,0.368203
E,S. cerevisiae,0.607541
E,S. cerevisiae,0.492459
E,S. cerevisiae,0.640939
E,S. cerevisiae,0.760707
E,S. cerevisiae,0.455856
E,S. cerevisiae,0.609483
E,S. cerevisiae,0.382717
E,S. cerevisiae,0.621843
E,S. cerevisiae,0.559892
E,S. cerevisiae,0.481459
E,S. cerevisiae,0.730086
E,S. cerevisiae,0.466142
E,S. cerevisiae,0.621523
E,S. cerevisiae,0.638429
E,S. cerevisiae,0.526923
E,S. cerevisiae,0.4789985
E,S. cerevisiae,0.656877
E,S. cerevisiae,0.490377
E,S. cerevisiae,0.638833
E,S. cerevisiae,0.6721555
E,S. cerevisiae,0.472815
E,S. cerevisiae,0.662122
E,S. cerevisiae,0.6203105
E,S. cerevisiae,0.684602
E,S. cerevisiae,0.418146
E,S. cerevisiae,0.578257
E,S. cerevisiae,0.708129
E,S. cerevisiae,0.456821
E,S. cerevisiae,0.5227785
E,S. cerevisiae,0.5133215
E,S. cerevisiae,0.483561
E,S. cerevisiae,0.463029
E,S. cerevisiae,0.7015815
E,S. cerevisiae,0.64849
E,S. cerevisiae,0.4421405
E,S. cerevisiae,0.4884235
E,S. cerevisiae,0.4275775
E,S. cerevisiae,0.633709
E,S. cerevisiae,0.725981
E,S. cerevisiae,0.596794
E,S. cerevisiae,0.667848
E,S. cerevisiae,0.5178225
E,S. cerevisiae,0.490151
E,S. cerevisiae,0.5985645
E,S. cerevisiae,0.533004
E,S. cerevisiae,0.4536195
E,S. cerevisiae,0.618108
E,S. cerevisiae,0.46959
E,S. cerevisiae,0.281087
E,S. cerevisiae,0.3235495
E,S. cerevisiae,0.66256
E,S. cerevisiae,0.426755
E,S. cerevisiae,0.536783
E,S. cerevisiae,0.544701
E,S. cerevisiae,0.491036
E,S. cerevisiae,0.37081
E,S. cerevisiae,0.460097
E,S. cerevisiae,0.6690375
E,S. cerevisiae,0.471767
E,S. cerevisiae,0.5408915
E,S. cerevisiae,0.461858
E,S. cerevisiae,0.630462
E,S. cerevisiae,0.6024695
E,S. cerevisiae,0.435084
E,S. cerevisiae,0.696094
E,S. cerevisiae,0.483112
E,S. cerevisiae,0.574899
E,S. cerevisiae,0.600008
E,S. cerevisiae,0.413668
E,S. cerevisiae,0.6643865
E,S. cerevisiae,0.427609
E,S. cerevisiae,0.5918865
E,S. cerevisiae,0.650259
E,S. cerevisiae,0.5617085
E,S. cerevisiae,0.400251
E,S. cerevisiae,0.788043
E,S. cerevisiae,0.691433
E,S. cerevisiae,0.743897
E,S. cerevisiae,0.564116
E,S. cerevisiae,0.422063
E,S. cerevisiae,0.445291
E,S. cerevisiae,0.53662
E,S. cerevisiae,0.6985255
E,S. cerevisiae,0.377156
E,S. cerevisiae,0.670252
E,S. cerevisiae,0.640133
E,S. cerevisiae,0.700373
E,S. cerevisiae,0.379837
E,S. cerevisiae,0.5939565
E,S. cerevisiae,0.3752725
E,S. cerevisiae,0.398943
E,S. cerevisiae,0.589717
E,S. cerevisiae,0.5004735
E,S. cerevisiae,0.5413585
E,S. cerevisiae,0.692932
E,S. cerevisiae,0.7424535
E,S. cerevisiae,0.6795015
E,S. cerevisiae,0.5999315
E,S. cerevisiae,0.6634375
E,S. cerevisiae,0.753904
E,S. cerevisiae,0.7224725
E,S. cerevisiae,0.367954
E,S. cerevisiae,0.5226585
E,S. cerevisiae,0.69601
E,S. cerevisiae,0.717001
E,S. cerevisiae,0.447707
E,S. cerevisiae,0.550011
E,S. cerevisiae,0.7356675
E,S. cerevisiae,0.567708
E,S. cerevisiae,0.650271
E,S. cerevisiae,0.727062
E,S. cerevisiae,0.656311
E,S. cerevisiae,0.726185
E,S. cerevisiae,0.4243475
E,S. cerevisiae,0.6536885
E,S. cerevisiae,0.533165
E,S. cerevisiae,0.656747
E,S. cerevisiae,0.7008245
E,S. cerevisiae,0.356164
E,S. cerevisiae,0.498113
E,S. cerevisiae,0.4935905
E,S. cerevisiae,0.603829
E,S. cerevisiae,0.512814
E,S. cerevisiae,0.45947
E,S. cerevisiae,0.773863
E,S. cerevisiae,0.688867
E,S. cerevisiae,0.576662
E,S. cerevisiae,0.4978445
E,S. cerevisiae,0.693939
E,S. cerevisiae,0.657846
E,S. cerevisiae,0.50258
E,S. cerevisiae,0.359846
E,S. cerevisiae,0.6456445
E,S. cerevisiae,0.6882765
E,S. cerevisiae,0.703253
E,S. cerevisiae,0.363776
E,S. cerevisiae,0.5393
E,S. cerevisiae,0.4466055
E,S. cerevisiae,0.4391
E,S. cerevisiae,0.628024
E,S. cerevisiae,0.7382985
E,S. cerevisiae,0.609664
E,S. cerevisiae,0.4974715
E,S. cerevisiae,0.498624
E,S. cerevisiae,0.669871
E,S. cerevisiae,0.602703
E,S. cerevisiae,0.286756
E,S. cerevisiae,0.6244445
E,S. cerevisiae,0.48161
E,S. cerevisiae,0.762829
E,S. cerevisiae,0.772952
E,S. cerevisiae,0.409008
E,S. cerevisiae,0.438556
E,S. cerevisiae,0.349102
E,S. cerevisiae,0.4841575
E,S. cerevisiae,0.618237
E,S. cerevisiae,0.4479845
E,S. cerevisiae,0.398494
E,S. cerevisiae,0.5222585
E,S. cerevisiae,0.486436
E,S. cerevisiae,0.5716855
E,S. cerevisiae,0.709672
E,S. cerevisiae,0.457449
E,S. cerevisiae,0.483613
E,S. cerevisiae,0.697807
E,S. cerevisiae,0.5286425
E,S. cerevisiae,0.539183
E,S. cerevisiae,0.775561
E,S. cerevisiae,0.48944
E,S. cerevisiae,0.3165475
E,S. cerevisiae,0.750142
E,S. cerevisiae,0.538459
E,S. cerevisiae,0.657108
E,S. cerevisiae,0.626136
E,S. cerevisiae,0.5502695
E,S. cerevisiae,0.3983345
E,S. cerevisiae,0.464772
E,S. cerevisiae,0.605746
E,S. cerevisiae,0.50826
E,S. cerevisiae,0.3623955
E,S. cerevisiae,0.590289
E,S. cerevisiae,0.588394
E,S. cerevisiae,0.515952
E,S. cerevisiae,0.45512
E,S. cerevisiae,0.559095
E,S. cerevisiae,0.3963525
E,S. cerevisiae,0.481611
E,S. cerevisiae,0.396193
E,S. cerevisiae,0.526843
E,S. cerevisiae,0.558468
E,S. cerevisiae,0.618354
E,S. cerevisiae,0.462639
E,S. cerevisiae,0.7350085
E,S. cerevisiae,0.6210265
E,S. cerevisiae,0.758461
E,S. cerevisiae,0.506655
E,S. cerevisiae,0.723548
E,S. cerevisiae,0.6524635
E,S. cerevisiae,0.505011
E,S. cerevisiae,0.4881845
E,S. cerevisiae,0.44012
E,S. cerevisiae,0.558207
E,S. cerevisiae,0.4900975
E,S. cerevisiae,0.746051
E,S. cerevisiae,0.512866
E,S. cerevisiae,0.554513
E,S. cerevisiae,0.710135
E,S. cerevisiae,0.643807
E,S. cerevisiae,0.555941
E,S. cerevisiae,0.300107
E,S. cerevisiae,0.376472
E,S. cerevisiae,0.626136
E,S. cerevisiae,0.492558
E,S. cerevisiae,0.608046
E,S. cerevisiae,0.7491645
E,S. cerevisiae,0.510266
E,S. cerevisiae,0.460172
E,S. cerevisiae,0.642178
E,S. cerevisiae,0.713515
E,S. cerevisiae,0.61014
E,S. cerevisiae,0.423535
E,S. cerevisiae,0.559304
E,S. cerevisiae,0.403806
E,S. cerevisiae,0.779403
E,S. cerevisiae,0.407089
E,S. cerevisiae,0.5866625
E,S. cerevisiae,0.5479335
E,S. cerevisiae,0.374975
E,S. cerevisiae,0.770655
E,S. cerevisiae,0.329818
E,S. cerevisiae,0.519613
E,S. cerevisiae,0.5105865
E,S. cerevisiae,0.595531
E,S. cerevisiae,0.5770315
E,S. cerevisiae,0.6676095
E,S. cerevisiae,0.5209325
E,S. cerevisiae,0.3467205
E,S. cerevisiae,0.765832
E,S. cerevisiae,0.441388
E,S. cerevisiae,0.602875
E,S. cerevisiae,0.717883
E,S. cerevisiae,0.4944975
E,S. cerevisiae,0.698684
E,S. cerevisiae,0.5765055
E,S. cerevisiae,0.765766
E,S. cerevisiae,0.618451
E,S. cerevisiae,0.539768
E,S. cerevisiae,0.596392
E,S. cerevisiae,0.4845605
E,S. cerevisiae,0.490453
E,S. cerevisiae,0.56562
E,S. cerevisiae,0.725658
E,S. cerevisiae,0.38269
E,S. cerevisiae,0.779593
E,S. cerevisiae,0.497216
E,S. cerevisiae,0.6525955
E,S. cerevisiae,0.5469095
E,S. cerevisiae,0.633899
E,S. cerevisiae,0.8074085
E,S. cerevisiae,0.749261
E,S. cerevisiae,0.637537
E,S. cerevisiae,0.62064
E,S. cerevisiae,0.534244
E,S. cerevisiae,0.7198905
E,S. cerevisiae,0.624528
E,S. cerevisiae,0.499367
E,S. cerevisiae,0.530553
E,S. cerevisiae,0.5409545
E,S. cerevisiae,0.606091
E,S. cerevisiae,0.354442
E,S. cerevisiae,0.7119495
E,S. cerevisiae,0.510266
E,S. cerevisiae,0.680578
E,S. cerevisiae,0.648131
E,S. cerevisiae,0.413672
E,S. cerevisiae,0.536916
E,S. cerevisiae,0.4463975
E,S. cerevisiae,0.440034
E,S. cerevisiae,0.589711
E,S. cerevisiae,0.7583595
E,S. cerevisiae,0.567598
E,S. cerevisiae,0.4586135
E,S. cerevisiae,0.692148
E,S. cerevisiae,0.530089
E,S. cerevisiae,0.4161665
E,S. cerevisiae,0.716511
E,S. cerevisiae,0.449798
E,S. cerevisiae,0.559892
E,S. cerevisiae,0.327076
E,S. cerevisiae,0.674367
E,S. cerevisiae,0.6569715
E,S. cerevisiae,0.696869
E,S. cerevisiae,0.7227425
E,S. cerevisiae,0.540934
E,S. cerevisiae,0.658668
E,S. cerevisiae,0.397658
E,S. cerevisiae,0.35991
E,S. cerevisiae,0.656812
E,S. cerevisiae,0.544121
E,S. cerevisiae,0.6169535
E,S. cerevisiae,0.5069355
E,S. cerevisiae,0.565386
E,S. cerevisiae,0.723916
E,S. cerevisiae,0.774616
E,S. cerevisiae,0.657929
E,S. cerevisiae,0.6524225
E,S. cerevisiae,0.785297
E,S. cerevisiae,0.38911
E,S. cerevisiae,0.4589255
E,S. cerevisiae,0.5451225
E,S. cerevisiae,0.708399
E,S. cerevisiae,0.485879
E,S. cerevisiae,0.382017
E,S. cerevisiae,0.798822
E,S. cerevisiae,0.560444
E,S. cerevisiae,0.496879
E,S. cerevisiae,0.531437
E,S. cerevisiae,0.5313645
E,S. cerevisiae,0.5591005
E,S. cerevisiae,0.48739
E,S. cerevisiae,0.459259
E,S. cerevisiae,0.454677
E,S. cerevisiae,0.574126
E,S. cerevisiae,0.461393
E,S. cerevisiae,0.368774
E,S. cerevisiae,0.594812
E,S. cerevisiae,0.4057555
E,S. cerevisiae,0.422462
E,S. cerevisiae,0.472115
E,S. cerevisiae,0.7029555
E,S. cerevisiae,0.699894
E,S. cerevisiae,0.6601315
E,S. cerevisiae,0.442162
E,S. cerevisiae,0.7257505
E,S. cerevisiae,0.76924
E,S. cerevisiae,0.780794
E,S. cerevisiae,0.633226
E,S. cerevisiae,0.606642
E,S. cerevisiae,0.721698
E,S. cerevisiae,0.710625
E,S. cerevisiae,0.597987
E,S. cerevisiae,0.546069
E,S. cerevisiae,0.5951595
E,S. cerevisiae,0.5751295
E,S. cerevisiae,0.7460665
E,S. cerevisiae,0.737468
E,S. cerevisiae,0.645706
E,S. cerevisiae,0.775492
E,S. cerevisiae,0.503739
E,S. cerevisiae,0.717611
E,S. cerevisiae,0.6712665
E,S. cerevisiae,0.498775
E,S. cerevisiae,0.498775
E,S. cerevisiae,0.62443
E,S. cerevisiae,0.8157325
E,S. cerevisiae,0.516805
E,S. cerevisiae,0.4635645
E,S. cerevisiae,0.3638945
E,S. cerevisiae,0.678804
E,S. cerevisiae,0.438904
E,S. cerevisiae,0.5119735
E,S. cerevisiae,0.4298515
E,S. cerevisiae,0.50111
E,S. cerevisiae,0.7373195
E,S. cerevisiae,0.584266
E,S. cerevisiae,0.771959
E,S. cerevisiae,0.770654
E,S. cerevisiae,0.7233535
E,S. cerevisiae,0.381662
E,S. cerevisiae,0.595214
E,S. cerevisiae,0.586604
E,S. cerevisiae,0.39671
E,S. cerevisiae,0.3998805
E,S. cerevisiae,0.6960395
E,S. cerevisiae,0.473401
E,S. cerevisiae,0.451846
E,S. cerevisiae,0.467628
E,S. cerevisiae,0.566262
E,S. cerevisiae,0.573506
E,S. cerevisiae,0.4040815
E,S. cerevisiae,0.40763
E,S. cerevisiae,0.386322
E,S. cerevisiae,0.342887
E,S. cerevisiae,0.4512135
E,S. cerevisiae,0.6718755
E,S. cerevisiae,0.407574
E,S. cerevisiae,0.664848
E,S. cerevisiae,0.5226375
E,S. cerevisiae,0.7511335
E,S. cerevisiae,0.414042
E,S. cerevisiae,0.7385675
E,S. cerevisiae,0.514476
E,S. cerevisiae,0.506701
E,S. cerevisiae,0.587717
E,S. cerevisiae,0.3248795
E,S. cerevisiae,0.661494
E,S. cerevisiae,0.730989
E,S. cerevisiae,0.387469
E,S. cerevisiae,0.584437
E,S. cerevisiae,0.5485725
E,S. cerevisiae,0.502671
E,S. cerevisiae,0.354596
E,S. cerevisiae,0.4891125
E,S. cerevisiae,0.521042
E,S. cerevisiae,0.65865
E,S. cerevisiae,0.463939
E,S. cerevisiae,0.6938895
E,S. cerevisiae,0.49387
E,S. cerevisiae,0.418972
E,S. cerevisiae,0.446703
E,S. cerevisiae,0.7249785
E,S. cerevisiae,0.621026
E,S. cerevisiae,0.433292
E,S. cerevisiae,0.737797
E,S. cerevisiae,0.5296
E,S. cerevisiae,0.5015025
E,S. cerevisiae,0.43629
E,S. cerevisiae,0.597167
E,S. cerevisiae,0.680301
E,S. cerevisiae,0.6491655
E,S. cerevisiae,0.64544
E,S. cerevisiae,0.396612
E,S. cerevisiae,0.481284
E,S. cerevisiae,0.639023
E,S. cerevisiae,0.65034
E,S. cerevisiae,0.612826
E,S. cerevisiae,0.524245
E,S. cerevisiae,0.439089
E,S. cerevisiae,0.4043325
E,S. cerevisiae,0.354739
E,S. cerevisiae,0.534163
E,S. cerevisiae,0.4959675
E,S. cerevisiae,0.527087
E,S. cerevisiae,0.533276
E,S. cerevisiae,0.646081
E,S. cerevisiae,0.401573
E,S. cerevisiae,0.514919
E,S. cerevisiae,0.742546
E,S. cerevisiae,0.3930745
E,S. cerevisiae,0.496676
E,S. cerevisiae,0.5241315
E,S. cerevisiae,0.468193
E,S. cerevisiae,0.5656685
E,S. cerevisiae,0.770124
E,S. cerevisiae,0.530224
E,S. cerevisiae,0.509178
E,S. cerevisiae,0.712304
E,S. cerevisiae,0.580859
E,S. cerevisiae,0.519795
E,S. cerevisiae,0.7149475
E,S. cerevisiae,0.6536675
E,S. cerevisiae,0.70395
E,S. cerevisiae,0.645757
E,S. cerevisiae,0.708769
E,S. cerevisiae,0.4555815
E,S. cerevisiae,0.543245
E,S. cerevisiae,0.558667
E,S. cerevisiae,0.405785
E,S. cerevisiae,0.704439
E,S. cerevisiae,0.554544
E,S. cerevisiae,0.734979
E,S. cerevisiae,0.658757
E,S. cerevisiae,0.561574
E,S. cerevisiae,0.398975
E,S. cerevisiae,0.4822055
E,S. cerevisiae,0.723954
E,S. cerevisiae,0.6591615
E,S. cerevisiae,0.480981
E,S. cerevisiae,0.423455
E,S. cerevisiae,0.395276
E,S. cerevisiae,0.565177
E,S. cerevisiae,0.707136
E,S. cerevisiae,0.494945
E,S. cerevisiae,0.658388
E,S. cerevisiae,0.5255525
E,S. cerevisiae,0.463826
E,S. cerevisiae,0.587359
E,S. cerevisiae,0.440449
E,S. cerevisiae,0.754943
E,S. cerevisiae,0.608255
E,S. cerevisiae,0.4440525
E,S. cerevisiae,0.7536815
E,S. cerevisiae,0.609128
E,S. cerevisiae,0.431609
E,S. cerevisiae,0.800131
E,S. cerevisiae,0.6713725
E,S. cerevisiae,0.639227
E,S. cerevisiae,0.396388
E,S. cerevisiae,0.420123
E,S. cerevisiae,0.655684
E,S. cerevisiae,0.579661
E,S. cerevisiae,0.5258
E,S. cerevisiae,0.728169
E,S. cerevisiae,0.4799305
E,S. cerevisiae,0.620745
E,S. cerevisiae,0.487662
E,S. cerevisiae,0.5223175
E,S. cerevisiae,0.44461
E,S. cerevisiae,0.449768
E,S. cerevisiae,0.395661
E,S. cerevisiae,0.574668
E,S. cerevisiae,0.539576
E,S. cerevisiae,0.584085
E,S. cerevisiae,0.4298
E,S. cerevisiae,0.528252
E,S. cerevisiae,0.595853
E,S. cerevisiae,0.6913105
E,S. cerevisiae,0.507982
E,S. cerevisiae,0.5782915
E,S. cerevisiae,0.594672
E,S. cerevisiae,0.456876
E,S. cerevisiae,0.5494175
E,S. cerevisiae,0.6041215
E,S. cerevisiae,0.554247
E,S. cerevisiae,0.559892
E,S. cerevisiae,0.696896
E,S. cerevisiae,0.6373155
E,S. cerevisiae,0.441381
E,S. cerevisiae,0.666963
E,S. cerevisiae,0.495758
E,S. cerevisiae,0.687431
E,S. cerevisiae,0.6401135
E,S. cerevisiae,0.740038
E,S. cerevisiae,0.6050965
E,S. cerevisiae,0.624418
E,S. cerevisiae,0.580517
E,S. cerevisiae,0.686299
E,S. cerevisiae,0.5067595
